name,eur,PRODUCTS,BUYER
United Kingdom,46912,1 year licenses and Upgrade to Cellebrite Premium as a Service PRO package,British Transport Police
Portugal,45122,150 Inseyets access. Premium (Inseyets) 150 desbloqueios - CT 229/2025,National Police - Policia de Seguraça Publica
Romania,43927.53,"Hardware and renewal of licenses for Cellebrite UFED Premium, Inseyets, Digital Collector - LOT-0009: LOT 9 Cellebrite Software
Description: Cellebrite Software Componenta lot: 9.1 - UFED Premium Kits – hardware + software license cu 1 an subscripție [Cellebrite UFED 4PC Premium] sau echivalent -2 buc 9.2 - Reînnoire subscripție cu 1 an SMS pentru Cellebrite Inseyets PRO UFED+PA Subscription – software -1 buc. 9.3 – Cellebrite Digital Collector– hardware + software license cu subscripție term 1 an SMS ""-1 buc, conform caiet de sarcini",National Anti-corruption Directorate - DIRECTIA NATIONALA ANTICORUPTIE
United Kingdom,42631.28,Purchase of software licenses,Foreign Commonwealth and Development Office
United Kingdom,42453.0144,Phone extraction tools licenses. Provision of Extraction Licences for Northamptonshire Police. There are no extension options available.,"The Police, Fire and Crime Commissioner for Northamptonshire"
Lithuania,41900,1-year renewal of licenses for Cellebrite Pathfinder - LOT-0002: Renewal of the license for the Cellebrite Pathfinder software used for information technology examinations of mobile phones and other smart mobile devices for a period of 12 months.,National Police - Policijos departamentas prie Lietuvos Respublikos vidaus reikalų ministerijos -  Police Department under the Ministry of the Interior of the Republic of Lithuania
Estonia,40685,NA,Ministry of the Interior IT Center - Information Technology and Development Center
Romania,37278.04,"Licenses, hardware and training for Cellebrite Cloud Analyzer, Touch 2, Inspector, Digital Collector, Apple Intermediate and Advanced Forensics, Smathrphone Analysis. 19.1 Cellebrite Cloud Analyzer 19.2 Cellebrite Touch 2 19.3 Cellebrite Inspector and Digital Collector 19.4 Cellebrite Apple Forensic Fundamentals (1 x training course) 19.5 Cellebrite Apple Intermediate Forensics + Cellebrite Apple Advanced Forensics (training course) 19.6 Cellebrite Advanced Smartphone Analysis(1 x training course)",National Anti-corruption Directorate - DIRECTIA NATIONALA ANTICORUPTIE
Romania,34501.57,"Licenses and support for Cellebrite Cloud Analyzer, Inspector, Digital Collector, UFED 4PC, Inseyets. Subscriptions and technical support required for equipment/software applications – Cellebrite – Cellebrite Cloud Analyzer
 Cellebrite – Cellebrite Inspector
Cellebrite – Cellebrite Digital Collector
 Cellebrite – Cellebrite UFED 4PC + Premium
 Cellebrite – Cellebrite UFED Inseyets Pro",National Anti-corruption Directorate - DIRECTIA NATIONALA ANTICORUPTIE
United Kingdom,30492.8,License renewal,British Transport Police
Spain,29950,"Purchase of Cellebrite software and hardware - Suscripción de software y hardware de análisis forense Cellebrite para la DGP.
",National Police - División Económica y Técnica (Cuerpo Nacional de Policía)
Spain,29950,"Cellebrite software and hardware - Suscripción de software y hardware de análisis forense Cellebrite para la DGP.
",National Police - División Económica y Técnica (Cuerpo Nacional de Policía)
United Kingdom,29320,Annual Subscription to PaaS Packages,British Transport Police
Poland,29298.97,Renewal and update of Cellebrite Inseyets Pro licenses - LOT-0007: Odnowienie subskrypcji 2 licencji oprogramowania UFED Inseyets Online PRO oraz aktualizacja 1 licencji do oprogramowania do UFED Inseyets Online PRO . Renewal of subscriptions for 2 licences of UFED Inseyets Online PRO and upgrade of 1 licence to UFED Inseyets Online PRO,Office of Competition and Consumer Protection - Urząd Ochrony Konkurencji i Konsumentów.
United Kingdom,29167.72365,"Forensic capacity to investigate aircraft incidents. This contract has been awarded to Cellebrite UK Ltd for the provision of forensic equipment and software licenses to support the Air Accidents Investigation Branch in performing forensic downloads of mobile phones and tablet computers recovered from aircraft accidents. These devices often contain information of importance to AAIB investigations, such as flight planning and GNSS derived aircraft positional data but can be locked; therefore the AAIB not only requires forensic data extraction and analysis functionality, but also the ability to unlock the devices in the first place.",Department for Transport
United Kingdom,27739.0656,3 Cellebrite Responder and Commander kits,The Police and Crime Commissioner for Kent
United Kingdom,27096.75822,Licenses,Department for Work and Pensions
Latvia,26500,Licenses for Cellebrite Inseyets - LOT-0004: Programmatūras Cellebrite Inseyets Pro Online unlocks,State Police - Valsts policija
Latvia,26300,Cellebrite software update,State Police - Valsts policija
Poland,24330.13,"Cellebrite Inseyets Pro - Lot: LOT-0001
Title: Dostawa oprogramowania z zakresu informatyki śledczej określonego w zadaniu nr 1
Description: Dostawa oprogramowania z zakresu informatyki śledczej Cellebrite Inseyets Pro Online - szczegółowo opisanego w załączniku nr 1A oraz 3 SWZ (LOT-0001 is a contract to supply Cellebrite Inseyets Pro Online digital forensic software)",Regional police Białystok - Komenda Wojewódzka Policji w Białymstoku
Estonia,20500,Renewal of UFED 4PC Ultimate licenses according to the underlying documents of the related procurement (reference number 261561) and the dynamic purchasing system (reference number 255269).,Ministry of Defence - National Defence Investment Centre
Romania,18200.76,Cellebrite licenses,National Anti-corruption Directorate - DIRECTIA NATIONALA ANTICORUPTIE
Romania,15881.75,"Cellebrite UFED hardware - LOT-0005: LOT 5 Unitate mobilă ID: MDT-UFED triaj, dispozitive mobile– Hardware
Portable computers",National Anti-corruption Directorate - DIRECTIA NATIONALA ANTICORUPTIE
Portugal,15728,"Renewal of licenses. Renovação da Subscrição do Licenciamento do software forense - NUIX, INTELLA, AXIOM, PASSWARE, ENCASE, Forensic e CELLEBRITE",General Prosecutor's Office - Procuradoria-Geral da República
Latvia,15700,Cellebrite software updates for the Latvian State Police College (VPK).,State Police - Valsts policija
Portugal,14500,Renewal of Cellebrite UFED and Pathfinder licenses. AQUISIÇÃO DE RENOVAÇÃO DE LICENÇAS DE SOFTWARE FORENTE (CELLEBRITE – 4PC ULTIMATE E PATHFINDER DESKTOP) EM USO NA DIREÇÃO DE INVESTIGAÇÃO CRIMINAL DA GUARDA NACIONAL REPUBLICANA,National Guard - Guarda Nacional Republicana
Spain,14250,"2 licenses for Cellebrite Cloud Analyzer for Gibraltar - Adquisición de dos licencias Cellebrite UFED Cloud Analyzer, para dotar al Servicio de Asuntos Internos de la G. Civil, en el marco del Plan especial de seguridad para el Campo de Gibraltar
",Guardia Civil - Subdirección General de Gestión Económica y Patrimonial. Ministerio del Interior.
Latvia,13715,Cellebrite UFED 4PC Ultimate,State Police - Valsts policija
United Kingdom,13135.36,2 Cellebrite UFED 4PC Ultimate licenses for use within the DCPCU & HTCU,City of London Corporation
Romania,13106.85,Cellebrite UFED,National Anti-corruption Directorate - DIRECTIA NATIONALA ANTICORUPTIE
Portugal,12953,Purchase of forensic analysis systems - FCUP_Aquisição de aplicação para análise forense de dispositivos móveis,University of Porto - Universidade do Porto (501413197)
Portugal,12450,Licenses for Cellebrite UFED and Pathfinder. FORNECIMENTO DE LICENCIAMENTO FORENSE Cellebrite UFED touch2 ultimate Cellebrite pathfinder desktop subscription,Judicial Police - Polícia Judiciária (600011712)
Spain,9090,Renewal of Cellebrite UFED software and hardware - Renovación herramienta software y hardware específico de ciberdefensa (UFED TOUCH2 DE CELLEBRITE),Ministry of Defence - Ministerio de Defensa
Latvia,7750,Cellebrite UFED licenses,State Police - Valsts policija
Croatia,4115,Cellebrite Physical Analyzer Licenses,Ministry of the Interior
Poland,2858.15,1 licence of Cellebrite Digital Collector - LOT-0011: Odnowienie subskrypcji licencji oprogramowania Cellebrite Digital Collector (1 licencja) Renewal of the subscription for 1 licence of Cellebrite Digital Collector,Office of Competition and Consumer Protection - Urząd Ochrony Konkurencji i Konsumentów.
